"Species","SpecCode","Suporder","Order","Family","Maximum_body_length","Body_elongation","Vertical_eye_position","Relative_eye_size","Oral_gape_position","Relative_maxillary_length"
"Abramites_eques",14737,"Teleostei","Characiformes","Anostomidae",18.5,2.754541467,0.386362758,0.62962963,0.386362758,0.233600823
"Abramites_hypselonotus",10768,"Teleostei","Characiformes","Anostomidae",14,2.951111516,0.396532958,0.468741005,0.482063585,0.136261585
"Acanthicus_hystrix",13268,"Teleostei","Siluriformes","Loricariidae",53,4.535059574,0.595910568,0.144950084,0,0
"Acanthocharax_microlepis",51803,"Teleostei","Characiformes","Characidae",8.5,2.561653574,0.596713231,0.44295677,0.645220915,0.427611996
"Acanthodoras_cataphractus",47599,"Teleostei","Siluriformes","Doradidae",12,4.143437064,0.57247185,0.18237942,0.382291321,0.341908108
"Acanthodoras_spinosissimus",12103,"Teleostei","Siluriformes","Doradidae",14,3.840304563,0.492843062,0.170081817,0.278656324,0.486323116
"Acanthopoma_annectens",48774,"Teleostei","Siluriformes","Trichomycteridae",12,6.99180696,0.354219198,0.314532654,0,0
"Acarichthys_heckelii",12258,"Teleostei","Perciformes","Cichlidae",13.4,2.879540602,0.575777121,0.26662963,0.360308198,0.253437037
"Acaronia_nassa",12260,"Teleostei","Perciformes","Cichlidae",15.4,2.248830964,0.526075829,0.51282092,0.393415482,0.598044823
"Acaronia_vultuosa",46568,"Teleostei","Perciformes","Cichlidae",12.2,2.143874428,0.556801309,0.418181818,0.477258265,0.562430303
"Acentronichthys_leptos",47798,"Teleostei","Siluriformes","Heptapteridae",11,7.548666872,0.584100383,0.200088039,0.407296534,"NA"
"Acestridium_dichromum",57630,"Teleostei","Siluriformes","Loricariidae",6.3,11.30526842,0.473684211,0.38176998,0,0
"Acestridium_discus",50557,"Teleostei","Siluriformes","Loricariidae",7,17.03136719,0.484625,0.433884492,0,0
"Acestridium_martini",57632,"Teleostei","Siluriformes","Loricariidae",7,17.17460317,0.647047619,0.446428571,0,0
"Acestridium_triplax",64041,"Teleostei","Siluriformes","Loricariidae",5.55,13.93615597,0.740954698,0.269632277,0,0
"Acestrocephalus_anomalus",52917,"Teleostei","Characiformes","Characidae",20,3.655639218,0.59058452,0.453841417,0.59058452,0.809114151
"Acestrocephalus_boehlkei",51805,"Teleostei","Characiformes","Characidae",14,3.597270369,0.509883579,0.518419326,0.481697541,1.079619021
"Acestrocephalus_pallidus",63995,"Teleostei","Characiformes","Characidae",6.05,3.574136318,0.539919849,0.517730496,0.501897324,1.270035461
"Acestrocephalus_sardina",53309,"Teleostei","Characiformes","Characidae",13.5,3.413600884,0.646407984,0.486223266,0.624307604,1.042382421
"Acestrorhynchus_altus",51076,"Teleostei","Characiformes","Acestrorhynchidae",23.3,3.641088049,0.599980973,0.392471558,0.547076918,1.321887225
"Acestrorhynchus_britskii",52499,"Teleostei","Characiformes","Acestrorhynchidae",16.5,4.779245455,0.531390909,0.450140633,0.531390909,1.198472658
"Acestrorhynchus_falcatus",23498,"Teleostei","Characiformes","Acestrorhynchidae",30,4.776882734,0.639142277,0.401410907,0.575369574,1.041610679
"Acestrorhynchus_falcirostris",13123,"Teleostei","Characiformes","Acestrorhynchidae",45,5.868843224,0.682197042,0.458820602,0.644068882,1.553815804
"Acestrorhynchus_grandoculis",51808,"Teleostei","Characiformes","Acestrorhynchidae",11,6.15980447,0.643040081,0.444174921,0.53566739,1.451435213
"Acestrorhynchus_heterolepis",27261,"Teleostei","Characiformes","Acestrorhynchidae",40.8,5.111346232,0.561279459,0.458714782,0.503254776,1.562371618
"Acestrorhynchus_isalineae",52522,"Teleostei","Characiformes","Acestrorhynchidae",10.1,6.408764927,0.559917711,0.533989079,0.509978772,1.552650717
"Acestrorhynchus_lacustris",51077,"Teleostei","Characiformes","Acestrorhynchidae",27,4.289617918,0.616108251,0.44198177,0.560704125,1.171920638
"Acestrorhynchus_maculipinna",52523,"Teleostei","Characiformes","Acestrorhynchidae",8,6.606775281,0.620314607,0.515625,0.620314607,1.762578125
"Acestrorhynchus_microlepis",12336,"Teleostei","Characiformes","Acestrorhynchidae",37,5.163057152,0.541481721,0.428250256,0.507401785,0.989978058
"Acestrorhynchus_minimus",51809,"Teleostei","Characiformes","Acestrorhynchidae",6.3,6.056471209,0.677164761,0.529016869,0.620429844,1.491270349
"Acestrorhynchus_nasutus",51815,"Teleostei","Characiformes","Acestrorhynchidae",7,6.599681021,0.552250979,0.556036124,0.467685225,1.865268484
"Acestrorhynchus_pantaneiro",52503,"Teleostei","Characiformes","Acestrorhynchidae",35.2,4.178191439,0.556195819,0.454465121,0.506526585,1.225987511
"Acinocheirodon_melanogramma",56582,"Teleostei","Pleuronectiformes","Achiridae",4,3.4764727,0.512414732,0.500244978,0.517948221,0.494986118
"Acnodon_normani",26526,"Teleostei","Characiformes","Characidae",19.9,2.048494388,0.544456783,0.442944102,0.48515951,0.223498856
"Acnodon_oligacanthus",28029,"Teleostei","Characiformes","Characidae",20,2.065171732,0.598321927,0.414001105,0.465776881,0.362907862
"Acnodon_senai",52504,"Teleostei","Characiformes","Characidae",13.2,2.216714444,0.559992533,0.42016972,0.511993173,0.215969632
"Acrobrycon_ipanquianus",51078,"Teleostei","Characiformes","Characidae",12,3.335582331,0.544421316,0.40203927,0.507051685,0.493493159
"Adontosternarchus_balaenops",27834,"Teleostei","Gymnotiformes","Apteronotidae",25,5.810673152,0.571984436,0.134617465,0.505836576,0.476133471
"Adontosternarchus_clarkae",48021,"Teleostei","Gymnotiformes","Apteronotidae",19,7.274110048,0.598086124,0.133328717,0.56937799,0.556975174
"Adontosternarchus_devenanzii",27831,"Teleostei","Gymnotiformes","Apteronotidae",19,6.195643584,0.524189321,0.137494654,0.475802614,0.3581682
"Adontosternarchus_sachsi",48019,"Teleostei","Gymnotiformes","Apteronotidae",32.2,8.478255319,0.495265957,0.190434306,0.461531915,0.511751644
